category_id,category
1,tv
2,technology
3,religion
4,business
5,christianity
6,kids
7,society
8,arts
9,spirituality
10,government
11,education
12,music
13,comedy
14,fiction
15,islam
16,health
17,judaism
18,hinduism
19,buddhism
20,science
21,news
22,leisure
23,sports
24,history
25,true crime
26,unknown
